,threshold,infected_agents
398,0.125,192
399,0.125,191
400,0.125,190
401,0.125,191
402,0.125,191
403,0.125,187
404,0.125,188
405,0.125,184
406,0.125,186
407,0.125,196
408,0.125,201
409,0.125,208
410,0.125,203
411,0.125,208
412,0.125,200
413,0.125,202
414,0.125,204
415,0.125,208
416,0.125,204
417,0.125,204
418,0.125,202
419,0.125,208
420,0.125,200
421,0.125,194
422,0.125,191
423,0.125,195
424,0.125,202
425,0.125,202
426,0.125,204
427,0.125,207
428,0.125,206
429,0.125,201
430,0.125,205
431,0.125,209
432,0.125,197
433,0.125,195
434,0.125,200
435,0.125,201
436,0.125,201
437,0.125,193
438,0.125,190
439,0.125,194
440,0.125,199
441,0.125,196
442,0.125,193
443,0.125,196
444,0.125,201
445,0.125,200
446,0.125,209
447,0.125,204
448,0.125,199
449,0.125,194
450,0.125,192
451,0.125,202
452,0.125,202
453,0.125,113
454,0.125,147
455,0.125,174
456,0.125,192
457,0.125,205
458,0.125,214
459,0.125,218
460,0.125,226
461,0.125,234
462,0.125,241
463,0.125,243
464,0.125,245
465,0.125,247
466,0.125,247
467,0.125,168
468,0.125,162
469,0.125,159
470,0.125,165
471,0.125,176
472,0.125,187
473,0.125,202
474,0.125,210
475,0.125,210
476,0.125,216
477,0.125,222
478,0.125,230
479,0.125,232
480,0.125,235
481,0.125,213
482,0.125,197
483,0.125,192
484,0.125,188
485,0.125,184
486,0.125,182
487,0.125,187
488,0.125,186
489,0.125,194
490,0.125,194
491,0.125,201
492,0.125,200
493,0.125,213
494,0.125,223
495,0.125,222
496,0.125,219
497,0.125,207
498,0.125,203
499,0.125,191
500,0.125,190
501,0.125,178
502,0.125,180
503,0.125,186
504,0.125,186
505,0.125,187
506,0.125,192
507,0.125,189
508,0.125,190
509,0.125,191
510,0.125,203
511,0.125,208
512,0.125,202
513,0.125,206
514,0.125,200
515,0.125,196
516,0.125,193
517,0.125,192
518,0.125,195
519,0.125,198
520,0.125,198
521,0.125,201
522,0.125,202
523,0.125,205
524,0.125,194
525,0.125,198
526,0.125,203
527,0.125,209
528,0.125,210
529,0.125,212
530,0.125,210
531,0.125,204
532,0.125,205
533,0.125,201
534,0.125,197
535,0.125,191
536,0.125,188
537,0.125,187
538,0.125,187
539,0.125,185
540,0.125,187
541,0.125,187
542,0.125,194
543,0.125,204
544,0.125,204
545,0.125,201
546,0.125,192
547,0.125,190
548,0.125,187
549,0.125,192
550,0.125,191
551,0.125,190
552,0.125,191
553,0.125,191
554,0.125,187
555,0.125,188
556,0.125,184
557,0.125,186
558,0.125,196
559,0.125,201
560,0.125,208
561,0.125,203
562,0.125,208
563,0.125,200
564,0.125,202
565,0.125,204
566,0.125,208
567,0.125,204
568,0.125,204
569,0.125,202
570,0.125,208
571,0.125,200
572,0.125,194
573,0.125,191
574,0.125,195
575,0.125,202
576,0.125,202
577,0.125,204
578,0.125,207
579,0.125,206
580,0.125,201
581,0.125,205
582,0.125,209
583,0.125,197
584,0.125,195
585,0.125,200
586,0.125,201
587,0.125,201
588,0.125,193
589,0.125,190
590,0.125,194
591,0.125,199
592,0.125,196
593,0.125,193
594,0.125,196
595,0.125,201
596,0.125,200
597,0.125,209
598,0.125,204
599,0.125,199
600,0.125,194
601,0.125,192
602,0.125,202
603,0.125,202
604,0.125,113
605,0.125,147
606,0.125,174
607,0.125,192
608,0.125,205
609,0.125,214
610,0.125,218
611,0.125,226
612,0.125,234
613,0.125,241
614,0.125,243
615,0.125,245
616,0.125,247
617,0.125,247
618,0.125,168
619,0.125,162
620,0.125,159
621,0.125,165
622,0.125,176
623,0.125,187
624,0.125,202
625,0.125,210
626,0.125,210
627,0.125,216
628,0.125,222
629,0.125,230
630,0.125,232
631,0.125,235
632,0.125,213
633,0.125,197
634,0.125,192
635,0.125,188
636,0.125,184
637,0.125,182
638,0.125,187
639,0.125,186
640,0.125,194
641,0.125,194
642,0.125,201
643,0.125,200
644,0.125,213
645,0.125,223
646,0.125,222
647,0.125,219
648,0.125,207
649,0.125,203
650,0.125,191
651,0.125,190
652,0.125,178
653,0.125,180
654,0.125,186
655,0.125,186
656,0.125,187
657,0.125,192
658,0.125,189
659,0.125,190
660,0.125,191
661,0.125,203
662,0.125,208
663,0.125,202
664,0.125,206
665,0.125,200
666,0.125,196
667,0.125,193
668,0.125,192
669,0.125,195
