,threshold,infected_agents
1659,0.375,198
1660,0.375,198
1661,0.375,113
1662,0.375,147
1663,0.375,172
1664,0.375,190
1665,0.375,209
1666,0.375,222
1667,0.375,233
1668,0.375,237
1669,0.375,239
1670,0.375,242
1671,0.375,245
1672,0.375,246
1673,0.375,246
1674,0.375,246
1675,0.375,159
1676,0.375,159
1677,0.375,170
1678,0.375,174
1679,0.375,180
1680,0.375,189
1681,0.375,197
1682,0.375,211
1683,0.375,217
1684,0.375,221
1685,0.375,223
1686,0.375,226
1687,0.375,233
1688,0.375,236
1689,0.375,218
1690,0.375,195
1691,0.375,182
1692,0.375,178
1693,0.375,175
1694,0.375,177
1695,0.375,173
1696,0.375,184
1697,0.375,194
1698,0.375,201
1699,0.375,208
1700,0.375,215
1701,0.375,217
1702,0.375,221
1703,0.375,219
1704,0.375,218
1705,0.375,212
1706,0.375,207
1707,0.375,200
1708,0.375,194
1709,0.375,195
1710,0.375,185
1711,0.375,181
1712,0.375,184
1713,0.375,191
1714,0.375,193
1715,0.375,199
1716,0.375,203
1717,0.375,212
1718,0.375,212
1719,0.375,209
1720,0.375,205
1721,0.375,203
1722,0.375,199
1723,0.375,199
1724,0.375,196
1725,0.375,196
1726,0.375,191
1727,0.375,194
1728,0.375,197
1729,0.375,208
1730,0.375,215
1731,0.375,211
1732,0.375,211
1733,0.375,213
1734,0.375,215
1735,0.375,212
1736,0.375,209
1737,0.375,206
1738,0.375,200
1739,0.375,196
1740,0.375,200
1741,0.375,197
1742,0.375,191
1743,0.375,184
1744,0.375,182
1745,0.375,187
1746,0.375,192
1747,0.375,192
1748,0.375,196
1749,0.375,194
1750,0.375,196
1751,0.375,197
1752,0.375,197
1753,0.375,202
1754,0.375,199
1755,0.375,193
1756,0.375,198
1757,0.375,193
1758,0.375,187
1759,0.375,194
1760,0.375,194
1761,0.375,193
1762,0.375,196
1763,0.375,196
1764,0.375,198
1765,0.375,201
1766,0.375,204
1767,0.375,200
1768,0.375,203
1769,0.375,199
1770,0.375,195
1771,0.375,202
1772,0.375,203
1773,0.375,195
1774,0.375,191
1775,0.375,196
1776,0.375,201
1777,0.375,205
1778,0.375,207
1779,0.375,202
1780,0.375,202
1781,0.375,202
1782,0.375,199
1783,0.375,205
1784,0.375,203
1785,0.375,199
1786,0.375,203
1787,0.375,193
1788,0.375,193
1789,0.375,183
1790,0.375,178
1791,0.375,188
1792,0.375,185
1793,0.375,188
1794,0.375,186
1795,0.375,195
1796,0.375,195
1797,0.375,191
1798,0.375,203
1799,0.375,204
1800,0.375,201
1801,0.375,208
1802,0.375,213
1803,0.375,213
1804,0.375,206
1805,0.375,199
1806,0.375,207
1807,0.375,205
1808,0.375,215
1809,0.375,204
1810,0.375,198
1811,0.375,198
1812,0.375,113
1813,0.375,147
1814,0.375,172
1815,0.375,190
1816,0.375,209
1817,0.375,222
1818,0.375,233
1819,0.375,237
1820,0.375,239
1821,0.375,242
1822,0.375,245
1823,0.375,246
1824,0.375,246
1825,0.375,246
1826,0.375,159
1827,0.375,159
1828,0.375,170
1829,0.375,174
1830,0.375,180
1831,0.375,189
1832,0.375,197
1833,0.375,211
1834,0.375,217
1835,0.375,221
1836,0.375,223
1837,0.375,226
1838,0.375,233
1839,0.375,236
1840,0.375,218
1841,0.375,195
1842,0.375,182
1843,0.375,178
1844,0.375,175
1845,0.375,177
1846,0.375,173
1847,0.375,184
1848,0.375,194
1849,0.375,201
1850,0.375,208
1851,0.375,215
1852,0.375,217
1853,0.375,221
1854,0.375,219
1855,0.375,218
1856,0.375,212
1857,0.375,207
1858,0.375,200
1859,0.375,194
1860,0.375,195
1861,0.375,185
1862,0.375,181
1863,0.375,184
1864,0.375,191
1865,0.375,193
1866,0.375,199
1867,0.375,203
1868,0.375,212
1869,0.375,212
1870,0.375,209
1871,0.375,205
1872,0.375,203
1873,0.375,199
1874,0.375,199
1875,0.375,196
1876,0.375,196
1877,0.375,191
1878,0.375,194
1879,0.375,197
1880,0.375,208
1881,0.375,215
1882,0.375,211
1883,0.375,211
1884,0.375,213
1885,0.375,215
1886,0.375,212
1887,0.375,209
1888,0.375,206
1889,0.375,200
1890,0.375,196
1891,0.375,200
1892,0.375,197
1893,0.375,191
1894,0.375,184
1895,0.375,182
1896,0.375,187
1897,0.375,192
1898,0.375,192
1899,0.375,196
1900,0.375,194
1901,0.375,196
1902,0.375,197
1903,0.375,197
1904,0.375,202
1905,0.375,199
1906,0.375,193
1907,0.375,198
1908,0.375,193
1909,0.375,187
1910,0.375,194
1911,0.375,194
1912,0.375,193
1913,0.375,196
1914,0.375,196
1915,0.375,198
1916,0.375,201
1917,0.375,204
1918,0.375,200
1919,0.375,203
1920,0.375,199
1921,0.375,195
1922,0.375,202
1923,0.375,203
1924,0.375,195
1925,0.375,191
1926,0.375,196
1927,0.375,201
1928,0.375,205
1929,0.375,207
1930,0.375,202
1931,0.375,202
1932,0.375,202
1933,0.375,199
1934,0.375,205
1935,0.375,203
1936,0.375,199
1937,0.375,203
1938,0.375,193
1939,0.375,193
1940,0.375,183
1941,0.375,178
1942,0.375,188
1943,0.375,185
1944,0.375,188
1945,0.375,186
1946,0.375,195
1947,0.375,195
1948,0.375,191
1949,0.375,203
1950,0.375,204
1951,0.375,201
1952,0.375,208
1953,0.375,213
1954,0.375,213
1955,0.375,206
1956,0.375,199
1957,0.375,207
1958,0.375,205
1959,0.375,215
1960,0.375,204
1961,0.375,198
1962,0.375,198
1963,0.375,113
1964,0.375,147
1965,0.375,172
1966,0.375,190
1967,0.375,209
1968,0.375,222
1969,0.375,233
1970,0.375,237
1971,0.375,239
1972,0.375,242
1973,0.375,245
1974,0.375,246
1975,0.375,246
1976,0.375,246
1977,0.375,159
1978,0.375,159
1979,0.375,170
1980,0.375,174
1981,0.375,180
1982,0.375,189
1983,0.375,197
1984,0.375,211
1985,0.375,217
1986,0.375,221
1987,0.375,223
1988,0.375,226
1989,0.375,233
1990,0.375,236
1991,0.375,218
1992,0.375,195
1993,0.375,182
1994,0.375,178
1995,0.375,175
1996,0.375,177
1997,0.375,173
1998,0.375,184
1999,0.375,194
2000,0.375,201
2001,0.375,208
2002,0.375,215
2003,0.375,217
2004,0.375,221
2005,0.375,219
2006,0.375,218
2007,0.375,212
2008,0.375,207
2009,0.375,200
2010,0.375,194
2011,0.375,195
2012,0.375,185
2013,0.375,181
2014,0.375,184
2015,0.375,191
2016,0.375,193
2017,0.375,199
2018,0.375,203
2019,0.375,212
2020,0.375,212
2021,0.375,209
2022,0.375,205
2023,0.375,203
2024,0.375,199
2025,0.375,199
2026,0.375,196
2027,0.375,196
2028,0.375,191
2029,0.375,194
2030,0.375,197
2031,0.375,208
2032,0.375,215
2033,0.375,211
2034,0.375,211
2035,0.375,213
2036,0.375,215
2037,0.375,212
2038,0.375,209
2039,0.375,206
2040,0.375,200
2041,0.375,196
2042,0.375,200
2043,0.375,197
2044,0.375,191
2045,0.375,184
2046,0.375,182
2047,0.375,187
2048,0.375,192
2049,0.375,192
2050,0.375,196
2051,0.375,194
2052,0.375,196
2053,0.375,197
2054,0.375,197
2055,0.375,202
2056,0.375,199
2057,0.375,193
2058,0.375,198
2059,0.375,193
2060,0.375,187
2061,0.375,194
2062,0.375,194
2063,0.375,193
2064,0.375,196
2065,0.375,196
2066,0.375,198
2067,0.375,201
2068,0.375,204
2069,0.375,200
2070,0.375,203
2071,0.375,199
2072,0.375,195
2073,0.375,202
2074,0.375,203
2075,0.375,195
2076,0.375,191
2077,0.375,196
2078,0.375,201
2079,0.375,205
2080,0.375,207
2081,0.375,202
2082,0.375,202
2083,0.375,202
2084,0.375,199
2085,0.375,205
2086,0.375,203
2087,0.375,199
2088,0.375,203
2089,0.375,193
2090,0.375,193
2091,0.375,183
2092,0.375,178
2093,0.375,188
2094,0.375,185
2095,0.375,188
2096,0.375,186
2097,0.375,195
2098,0.375,195
2099,0.375,191
2100,0.375,203
2101,0.375,204
2102,0.375,201
2103,0.375,208
2104,0.375,213
2105,0.375,213
2106,0.375,206
2107,0.375,199
2108,0.375,207
2109,0.375,205
2110,0.375,215
2111,0.375,204
2112,0.375,198
2113,0.375,198
2114,0.375,113
2115,0.375,147
2116,0.375,172
2117,0.375,190
2118,0.375,209
2119,0.375,222
2120,0.375,233
2121,0.375,237
2122,0.375,239
2123,0.375,242
2124,0.375,245
2125,0.375,246
2126,0.375,246
2127,0.375,246
2128,0.375,159
2129,0.375,159
2130,0.375,170
2131,0.375,174
2132,0.375,180
2133,0.375,189
2134,0.375,197
2135,0.375,211
2136,0.375,217
2137,0.375,221
2138,0.375,223
2139,0.375,226
2140,0.375,233
2141,0.375,236
2142,0.375,218
2143,0.375,195
2144,0.375,182
2145,0.375,178
2146,0.375,175
2147,0.375,177
2148,0.375,173
2149,0.375,184
2150,0.375,194
2151,0.375,201
2152,0.375,208
2153,0.375,215
2154,0.375,217
2155,0.375,221
2156,0.375,219
2157,0.375,218
2158,0.375,212
2159,0.375,207
2160,0.375,200
2161,0.375,194
2162,0.375,195
2163,0.375,185
2164,0.375,181
2165,0.375,184
2166,0.375,191
2167,0.375,193
2168,0.375,199
2169,0.375,203
2170,0.375,212
2171,0.375,212
2172,0.375,209
2173,0.375,205
2174,0.375,203
2175,0.375,199
2176,0.375,199
2177,0.375,196
2178,0.375,196
2179,0.375,191
2180,0.375,194
2181,0.375,197
2182,0.375,208
2183,0.375,215
2184,0.375,211
2185,0.375,211
2186,0.375,213
2187,0.375,215
2188,0.375,212
2189,0.375,209
2190,0.375,206
2191,0.375,200
2192,0.375,196
2193,0.375,200
2194,0.375,197
2195,0.375,191
2196,0.375,184
2197,0.375,182
2198,0.375,187
2199,0.375,192
2200,0.375,192
2201,0.375,196
2202,0.375,194
2203,0.375,196
2204,0.375,197
2205,0.375,197
2206,0.375,202
2207,0.375,199
2208,0.375,193
2209,0.375,198
2210,0.375,193
2211,0.375,187
2212,0.375,194
2213,0.375,194
2214,0.375,193
2215,0.375,196
2216,0.375,196
2217,0.375,198
2218,0.375,201
2219,0.375,204
2220,0.375,200
2221,0.375,203
2222,0.375,199
2223,0.375,195
2224,0.375,202
2225,0.375,203
2226,0.375,195
2227,0.375,191
2228,0.375,196
2229,0.375,201
2230,0.375,205
2231,0.375,207
2232,0.375,202
2233,0.375,202
2234,0.375,202
2235,0.375,199
2236,0.375,205
2237,0.375,203
2238,0.375,199
2239,0.375,203
2240,0.375,193
2241,0.375,193
2242,0.375,183
2243,0.375,178
2244,0.375,188
2245,0.375,185
2246,0.375,188
2247,0.375,186
2248,0.375,195
2249,0.375,195
2250,0.375,191
2251,0.375,203
2252,0.375,204
2253,0.375,201
2254,0.375,208
2255,0.375,213
2256,0.375,213
2257,0.375,206
2258,0.375,199
2259,0.375,207
2260,0.375,205
2261,0.375,215
2262,0.375,204
2263,0.375,198
2264,0.375,198
2265,0.5,113
2266,0.5,147
2267,0.5,175
2268,0.5,192
2269,0.5,206
2270,0.5,214
2271,0.5,219
2272,0.5,229
2273,0.5,235
2274,0.5,236
2275,0.5,238
2276,0.5,241
2277,0.5,243
2278,0.5,246
2279,0.5,167
2280,0.5,156
2281,0.5,160
2282,0.5,171
2283,0.5,176
2284,0.5,190
2285,0.5,196
2286,0.5,196
2287,0.5,204
2288,0.5,218
2289,0.5,220
2290,0.5,226
2291,0.5,227
2292,0.5,232
2293,0.5,205
2294,0.5,196
2295,0.5,182
2296,0.5,178
2297,0.5,185
2298,0.5,182
2299,0.5,196
2300,0.5,200
2301,0.5,200
2302,0.5,201
2303,0.5,213
2304,0.5,216
2305,0.5,220
2306,0.5,218
2307,0.5,214
2308,0.5,207
2309,0.5,201
2310,0.5,197
2311,0.5,183
2312,0.5,188
2313,0.5,177
2314,0.5,184
2315,0.5,187
2316,0.5,191
2317,0.5,187
2318,0.5,186
2319,0.5,190
2320,0.5,202
2321,0.5,211
2322,0.5,217
2323,0.5,215
2324,0.5,208
2325,0.5,209
2326,0.5,198
2327,0.5,203
2328,0.5,191
2329,0.5,192
2330,0.5,188
2331,0.5,199
2332,0.5,206
2333,0.5,210
2334,0.5,204
2335,0.5,208
2336,0.5,211
2337,0.5,217
2338,0.5,214
2339,0.5,215
2340,0.5,215
2341,0.5,208
2342,0.5,209
2343,0.5,207
2344,0.5,201
2345,0.5,195
2346,0.5,188
2347,0.5,195
2348,0.5,200
2349,0.5,195
2350,0.5,195
2351,0.5,197
2352,0.5,200
2353,0.5,195
2354,0.5,196
2355,0.5,199
2356,0.5,202
2357,0.5,198
2358,0.5,199
2359,0.5,203
2360,0.5,201
2361,0.5,201
2362,0.5,203
2363,0.5,209
2364,0.5,208
2365,0.5,209
2366,0.5,204
2367,0.5,207
2368,0.5,208
2369,0.5,206
2370,0.5,200
2371,0.5,201
2372,0.5,204
2373,0.5,197
2374,0.5,200
2375,0.5,190
2376,0.5,191
2377,0.5,191
2378,0.5,189
2379,0.5,183
2380,0.5,195
2381,0.5,198
2382,0.5,200
2383,0.5,205
2384,0.5,207
2385,0.5,209
2386,0.5,210
2387,0.5,209
2388,0.5,208
2389,0.5,206
2390,0.5,200
2391,0.5,199
2392,0.5,199
2393,0.5,193
2394,0.5,191
2395,0.5,191
2396,0.5,188
2397,0.5,187
2398,0.5,190
2399,0.5,194
2400,0.5,194
2401,0.5,192
2402,0.5,200
2403,0.5,210
2404,0.5,211
2405,0.5,207
2406,0.5,215
2407,0.5,221
2408,0.5,213
2409,0.5,212
2410,0.5,208
2411,0.5,211
2412,0.5,208
2413,0.5,205
2414,0.5,199
2415,0.5,202
2416,0.5,113
2417,0.5,147
2418,0.5,175
2419,0.5,192
2420,0.5,206
2421,0.5,214
2422,0.5,219
2423,0.5,229
2424,0.5,235
2425,0.5,236
2426,0.5,238
2427,0.5,241
2428,0.5,243
2429,0.5,246
2430,0.5,167
2431,0.5,156
2432,0.5,160
2433,0.5,171
2434,0.5,176
2435,0.5,190
2436,0.5,196
2437,0.5,196
2438,0.5,204
2439,0.5,218
2440,0.5,220
2441,0.5,226
2442,0.5,227
2443,0.5,232
2444,0.5,205
2445,0.5,196
2446,0.5,182
2447,0.5,178
2448,0.5,185
2449,0.5,182
2450,0.5,196
2451,0.5,200
2452,0.5,200
2453,0.5,201
2454,0.5,213
2455,0.5,216
2456,0.5,220
2457,0.5,218
2458,0.5,214
2459,0.5,207
2460,0.5,201
2461,0.5,197
2462,0.5,183
2463,0.5,188
2464,0.5,177
2465,0.5,184
2466,0.5,187
2467,0.5,191
2468,0.5,187
2469,0.5,186
2470,0.5,190
2471,0.5,202
2472,0.5,211
2473,0.5,217
2474,0.5,215
2475,0.5,208
2476,0.5,209
2477,0.5,198
2478,0.5,203
2479,0.5,191
2480,0.5,192
2481,0.5,188
2482,0.5,199
2483,0.5,206
2484,0.5,210
2485,0.5,204
2486,0.5,208
2487,0.5,211
2488,0.5,217
2489,0.5,214
2490,0.5,215
2491,0.5,215
2492,0.5,208
2493,0.5,209
2494,0.5,207
2495,0.5,201
2496,0.5,195
2497,0.5,188
2498,0.5,195
2499,0.5,200
2500,0.5,195
2501,0.5,195
2502,0.5,197
2503,0.5,200
2504,0.5,195
2505,0.5,196
2506,0.5,199
2507,0.5,202
2508,0.5,198
2509,0.5,199
2510,0.5,203
2511,0.5,201
2512,0.5,201
2513,0.5,203
2514,0.5,209
2515,0.5,208
2516,0.5,209
2517,0.5,204
2518,0.5,207
2519,0.5,208
2520,0.5,206
2521,0.5,200
2522,0.5,201
2523,0.5,204
2524,0.5,197
2525,0.5,200
2526,0.5,190
2527,0.5,191
2528,0.5,191
2529,0.5,189
2530,0.5,183
2531,0.5,195
2532,0.5,198
2533,0.5,200
2534,0.5,205
2535,0.5,207
2536,0.5,209
2537,0.5,210
2538,0.5,209
2539,0.5,208
2540,0.5,206
2541,0.5,200
2542,0.5,199
2543,0.5,199
2544,0.5,193
2545,0.5,191
2546,0.5,191
2547,0.5,188
2548,0.5,187
2549,0.5,190
2550,0.5,194
2551,0.5,194
2552,0.5,192
2553,0.5,200
2554,0.5,210
2555,0.5,211
2556,0.5,207
2557,0.5,215
2558,0.5,221
2559,0.5,213
2560,0.5,212
2561,0.5,208
2562,0.5,211
2563,0.5,208
2564,0.5,205
2565,0.5,199
2566,0.5,202
2567,0.5,113
2568,0.5,147
2569,0.5,175
2570,0.5,192
2571,0.5,206
2572,0.5,214
2573,0.5,219
2574,0.5,229
2575,0.5,235
2576,0.5,236
2577,0.5,238
2578,0.5,241
2579,0.5,243
2580,0.5,246
2581,0.5,167
2582,0.5,156
2583,0.5,160
2584,0.5,171
2585,0.5,176
2586,0.5,190
2587,0.5,196
2588,0.5,196
2589,0.5,204
2590,0.5,218
2591,0.5,220
2592,0.5,226
2593,0.5,227
2594,0.5,232
2595,0.5,205
2596,0.5,196
2597,0.5,182
2598,0.5,178
2599,0.5,185
2600,0.5,182
2601,0.5,196
2602,0.5,200
2603,0.5,200
2604,0.5,201
2605,0.5,213
2606,0.5,216
2607,0.5,220
2608,0.5,218
2609,0.5,214
2610,0.5,207
2611,0.5,201
2612,0.5,197
2613,0.5,183
2614,0.5,188
2615,0.5,177
2616,0.5,184
2617,0.5,187
2618,0.5,191
2619,0.5,187
2620,0.5,186
2621,0.5,190
2622,0.5,202
2623,0.5,211
2624,0.5,217
2625,0.5,215
2626,0.5,208
2627,0.5,209
2628,0.5,198
2629,0.5,203
2630,0.5,191
2631,0.5,192
2632,0.5,188
2633,0.5,199
2634,0.5,206
2635,0.5,210
2636,0.5,204
2637,0.5,208
2638,0.5,211
2639,0.5,217
2640,0.5,214
2641,0.5,215
2642,0.5,215
2643,0.5,208
2644,0.5,209
2645,0.5,207
2646,0.5,201
2647,0.5,195
2648,0.5,188
2649,0.5,195
2650,0.5,200
2651,0.5,195
2652,0.5,195
2653,0.5,197
2654,0.5,200
2655,0.5,195
2656,0.5,196
2657,0.5,199
2658,0.5,202
2659,0.5,198
2660,0.5,199
2661,0.5,203
2662,0.5,201
2663,0.5,201
2664,0.5,203
2665,0.5,209
2666,0.5,208
2667,0.5,209
2668,0.5,204
2669,0.5,207
2670,0.5,208
2671,0.5,206
2672,0.5,200
2673,0.5,201
2674,0.5,204
2675,0.5,197
2676,0.5,200
2677,0.5,190
2678,0.5,191
2679,0.5,191
2680,0.5,189
2681,0.5,183
2682,0.5,195
2683,0.5,198
2684,0.5,200
2685,0.5,205
2686,0.5,207
2687,0.5,209
2688,0.5,210
2689,0.5,209
2690,0.5,208
2691,0.5,206
2692,0.5,200
2693,0.5,199
2694,0.5,199
2695,0.5,193
2696,0.5,191
2697,0.5,191
2698,0.5,188
2699,0.5,187
2700,0.5,190
2701,0.5,194
2702,0.5,194
2703,0.5,192
2704,0.5,200
2705,0.5,210
2706,0.5,211
2707,0.5,207
2708,0.5,215
2709,0.5,221
2710,0.5,213
2711,0.5,212
2712,0.5,208
2713,0.5,211
2714,0.5,208
2715,0.5,205
2716,0.5,199
2717,0.5,202
2718,0.5,113
2719,0.5,147
2720,0.5,175
2721,0.5,192
2722,0.5,206
2723,0.5,214
2724,0.5,219
2725,0.5,229
2726,0.5,235
2727,0.5,236
2728,0.5,238
2729,0.5,241
2730,0.5,243
2731,0.5,246
2732,0.5,167
2733,0.5,156
2734,0.5,160
2735,0.5,171
2736,0.5,176
2737,0.5,190
2738,0.5,196
2739,0.5,196
2740,0.5,204
2741,0.5,218
2742,0.5,220
2743,0.5,226
2744,0.5,227
2745,0.5,232
2746,0.5,205
2747,0.5,196
2748,0.5,182
2749,0.5,178
2750,0.5,185
2751,0.5,182
2752,0.5,196
2753,0.5,200
2754,0.5,200
2755,0.5,201
2756,0.5,213
2757,0.5,216
2758,0.5,220
2759,0.5,218
2760,0.5,214
2761,0.5,207
2762,0.5,201
2763,0.5,197
2764,0.5,183
2765,0.5,188
2766,0.5,177
2767,0.5,184
2768,0.5,187
2769,0.5,191
2770,0.5,187
2771,0.5,186
2772,0.5,190
2773,0.5,202
2774,0.5,211
2775,0.5,217
2776,0.5,215
2777,0.5,208
2778,0.5,209
2779,0.5,198
2780,0.5,203
2781,0.5,191
2782,0.5,192
2783,0.5,188
2784,0.5,199
2785,0.5,206
2786,0.5,210
2787,0.5,204
2788,0.5,208
2789,0.5,211
2790,0.5,217
2791,0.5,214
2792,0.5,215
2793,0.5,215
2794,0.5,208
2795,0.5,209
2796,0.5,207
2797,0.5,201
2798,0.5,195
2799,0.5,188
2800,0.5,195
2801,0.5,200
2802,0.5,195
2803,0.5,195
2804,0.5,197
2805,0.5,200
2806,0.5,195
2807,0.5,196
2808,0.5,199
2809,0.5,202
2810,0.5,198
2811,0.5,199
2812,0.5,203
2813,0.5,201
2814,0.5,201
2815,0.5,203
2816,0.5,209
2817,0.5,208
2818,0.5,209
2819,0.5,204
2820,0.5,207
2821,0.5,208
2822,0.5,206
2823,0.5,200
2824,0.5,201
2825,0.5,204
2826,0.5,197
2827,0.5,200
2828,0.5,190
2829,0.5,191
2830,0.5,191
2831,0.5,189
2832,0.5,183
2833,0.5,195
2834,0.5,198
2835,0.5,200
2836,0.5,205
2837,0.5,207
2838,0.5,209
2839,0.5,210
2840,0.5,209
2841,0.5,208
2842,0.5,206
2843,0.5,200
2844,0.5,199
2845,0.5,199
2846,0.5,193
2847,0.5,191
2848,0.5,191
2849,0.5,188
2850,0.5,187
2851,0.5,190
2852,0.5,194
2853,0.5,194
2854,0.5,192
2855,0.5,200
2856,0.5,210
2857,0.5,211
2858,0.5,207
2859,0.5,215
2860,0.5,221
2861,0.5,213
2862,0.5,212
2863,0.5,208
2864,0.5,211
2865,0.5,208
2866,0.5,205
2867,0.5,199
2868,0.5,202
2869,0.5,113
2870,0.5,147
2871,0.5,175
2872,0.5,192
2873,0.5,206
2874,0.5,214
2875,0.5,219
2876,0.5,229
2877,0.5,235
2878,0.5,236
2879,0.5,238
2880,0.5,241
2881,0.5,243
2882,0.5,246
2883,0.5,167
2884,0.5,156
2885,0.5,160
2886,0.5,171
2887,0.5,176
2888,0.5,190
2889,0.5,196
2890,0.5,196
2891,0.5,204
2892,0.5,218
2893,0.5,220
2894,0.5,226
2895,0.5,227
2896,0.5,232
2897,0.5,205
2898,0.5,196
2899,0.5,182
2900,0.5,178
2901,0.5,185
2902,0.5,182
2903,0.5,196
2904,0.5,200
2905,0.5,200
2906,0.5,201
2907,0.5,213
2908,0.5,216
2909,0.5,220
2910,0.5,218
2911,0.5,214
2912,0.5,207
2913,0.5,201
2914,0.5,197
2915,0.5,183
2916,0.5,188
2917,0.5,177
2918,0.5,184
2919,0.5,187
2920,0.5,191
2921,0.5,187
2922,0.5,186
2923,0.5,190
2924,0.5,202
2925,0.5,211
2926,0.5,217
2927,0.5,215
2928,0.5,208
2929,0.5,209
2930,0.5,198
2931,0.5,203
2932,0.5,191
2933,0.5,192
2934,0.5,188
2935,0.5,199
2936,0.5,206
2937,0.5,210
2938,0.5,204
2939,0.5,208
2940,0.5,211
2941,0.5,217
2942,0.5,214
2943,0.5,215
2944,0.5,215
2945,0.5,208
2946,0.5,209
2947,0.5,207
2948,0.5,201
2949,0.5,195
2950,0.5,188
2951,0.5,195
2952,0.5,200
2953,0.5,195
2954,0.5,195
2955,0.5,197
2956,0.5,200
2957,0.5,195
2958,0.5,196
2959,0.5,199
2960,0.5,202
2961,0.5,198
2962,0.5,199
2963,0.5,203
2964,0.5,201
2965,0.5,201
2966,0.5,203
2967,0.5,209
2968,0.5,208
2969,0.5,209
2970,0.5,204
2971,0.5,207
2972,0.5,208
2973,0.5,206
2974,0.5,200
2975,0.5,201
2976,0.5,204
2977,0.5,197
2978,0.5,200
2979,0.5,190
2980,0.5,191
2981,0.5,191
2982,0.5,189
2983,0.5,183
2984,0.5,195
2985,0.5,198
2986,0.5,200
2987,0.5,205
2988,0.5,207
2989,0.5,209
2990,0.5,210
2991,0.5,209
2992,0.5,208
2993,0.5,206
2994,0.5,200
2995,0.5,199
2996,0.5,199
2997,0.5,193
2998,0.5,191
2999,0.5,191
3000,0.5,188
3001,0.5,187
3002,0.5,190
3003,0.5,194
3004,0.5,194
3005,0.5,192
3006,0.5,200
3007,0.5,210
3008,0.5,211
3009,0.5,207
3010,0.5,215
3011,0.5,221
3012,0.5,213
3013,0.5,212
3014,0.5,208
3015,0.5,211
3016,0.5,208
3017,0.5,205
3018,0.5,199
3019,0.5,202
3020,0.625,113
3021,0.625,147
3022,0.625,168
3023,0.625,185
3024,0.625,199
3025,0.625,211
3026,0.625,220
3027,0.625,228
3028,0.625,232
3029,0.625,236
3030,0.625,240
3031,0.625,243
3032,0.625,245
3033,0.625,249
3034,0.625,161
3035,0.625,163
3036,0.625,170
3037,0.625,172
3038,0.625,175
3039,0.625,191
3040,0.625,196
3041,0.625,201
3042,0.625,212
3043,0.625,218
3044,0.625,221
3045,0.625,227
3046,0.625,232
3047,0.625,234
3048,0.625,216
3049,0.625,198
3050,0.625,183
3051,0.625,180
3052,0.625,185
3053,0.625,178
3054,0.625,185
3055,0.625,188
3056,0.625,193
3057,0.625,202
3058,0.625,213
3059,0.625,211
3060,0.625,213
3061,0.625,215
3062,0.625,215
3063,0.625,205
3064,0.625,201
3065,0.625,193
3066,0.625,181
3067,0.625,176
3068,0.625,173
3069,0.625,179
3070,0.625,184
3071,0.625,182
3072,0.625,179
3073,0.625,193
3074,0.625,194
3075,0.625,196
3076,0.625,207
3077,0.625,210
3078,0.625,209
3079,0.625,214
3080,0.625,214
3081,0.625,208
3082,0.625,203
3083,0.625,198
3084,0.625,189
3085,0.625,187
3086,0.625,189
3087,0.625,185
3088,0.625,198
3089,0.625,202
3090,0.625,197
3091,0.625,191
3092,0.625,197
3093,0.625,194
3094,0.625,198
3095,0.625,205
3096,0.625,202
3097,0.625,198
3098,0.625,196
3099,0.625,192
3100,0.625,190
3101,0.625,192
3102,0.625,182
3103,0.625,191
3104,0.625,196
3105,0.625,204
3106,0.625,207
3107,0.625,210
3108,0.625,218
3109,0.625,212
3110,0.625,211
3111,0.625,208
3112,0.625,212
3113,0.625,211
3114,0.625,212
3115,0.625,205
3116,0.625,207
3117,0.625,204
3118,0.625,195
3119,0.625,197
3120,0.625,191
3121,0.625,193
3122,0.625,189
3123,0.625,192
3124,0.625,196
3125,0.625,200
3126,0.625,191
3127,0.625,190
3128,0.625,188
3129,0.625,194
3130,0.625,190
3131,0.625,181
3132,0.625,188
3133,0.625,180
3134,0.625,188
3135,0.625,186
3136,0.625,177
3137,0.625,187
3138,0.625,189
3139,0.625,192
3140,0.625,197
3141,0.625,197
3142,0.625,198
3143,0.625,193
3144,0.625,200
3145,0.625,203
3146,0.625,206
3147,0.625,213
3148,0.625,205
3149,0.625,200
3150,0.625,206
3151,0.625,202
3152,0.625,201
3153,0.625,197
3154,0.625,204
3155,0.625,207
3156,0.625,203
3157,0.625,201
3158,0.625,203
3159,0.625,201
3160,0.625,200
3161,0.625,199
3162,0.625,193
3163,0.625,200
3164,0.625,196
3165,0.625,196
3166,0.625,200
3167,0.625,203
3168,0.625,200
3169,0.625,202
3170,0.625,206
3171,0.625,113
3172,0.625,147
3173,0.625,168
3174,0.625,185
3175,0.625,199
3176,0.625,211
3177,0.625,220
3178,0.625,228
3179,0.625,232
3180,0.625,236
3181,0.625,240
3182,0.625,243
3183,0.625,245
3184,0.625,249
3185,0.625,161
3186,0.625,163
3187,0.625,170
3188,0.625,172
3189,0.625,175
3190,0.625,191
3191,0.625,196
3192,0.625,201
3193,0.625,212
3194,0.625,218
3195,0.625,221
3196,0.625,227
3197,0.625,232
3198,0.625,234
3199,0.625,216
3200,0.625,198
3201,0.625,183
3202,0.625,180
3203,0.625,185
3204,0.625,178
3205,0.625,185
3206,0.625,188
3207,0.625,193
3208,0.625,202
3209,0.625,213
3210,0.625,211
3211,0.625,213
3212,0.625,215
